id,segment,type_structure,organisation,ville,website,contact_page,email,phone,sales_stage,priority,source,next_action,notes
ADM-001,Administration,CPAS / Commune,CPAS de Mons,Mons,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-002,Administration,CPAS / Commune,CPAS de Soignies,Soignies,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-003,Administration,CPAS / Commune,CPAS de Boussu,Boussu,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-004,Administration,CPAS / Commune,CPAS de Frameries,Frameries,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-005,Administration,CPAS / Commune,CPAS de Colfontaine,Colfontaine,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-006,Administration,CPAS / Commune,CPAS de Quaregnon,Quaregnon,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-007,Administration,CPAS / Commune,CPAS de Jurbise,Jurbise,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-008,Administration,CPAS / Commune,CPAS de La Louviere,La Louviere,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-009,Administration,CPAS / Commune,CPAS de Ath,Ath,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-010,Administration,CPAS / Commune,CPAS de Tournai,Tournai,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-011,Administration,CPAS / Commune,CPAS de Mons,Mons,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-012,Administration,CPAS / Commune,CPAS de Soignies,Soignies,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-013,Administration,CPAS / Commune,CPAS de Boussu,Boussu,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-014,Administration,CPAS / Commune,CPAS de Frameries,Frameries,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-015,Administration,CPAS / Commune,CPAS de Colfontaine,Colfontaine,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-016,Administration,CPAS / Commune,CPAS de Quaregnon,Quaregnon,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-017,Administration,CPAS / Commune,CPAS de Jurbise,Jurbise,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-018,Administration,CPAS / Commune,CPAS de La Louviere,La Louviere,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-019,Administration,CPAS / Commune,CPAS de Ath,Ath,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
ADM-020,Administration,CPAS / Commune,CPAS de Tournai,Tournai,,,,,suspect,B,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin
JSP-001,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Mons #1,Mons,,,,,suspect,A,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques
JSP-002,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Soignies #2,Soignies,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques
JSP-003,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Boussu #3,Boussu,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques
JSP-004,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Frameries #4,Frameries,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques
JSP-005,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Colfontaine #5,Colfontaine,,,,,suspect,B,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques
