id,segment,type_structure,organisation,ville,website,contact_page,email,phone,sales_stage,priority,source,next_action,notes,qualification_abc,message_type,canal_prioritaire,statut_relance,ordre_lot
ADM-001,Administration,CPAS / Commune,CPAS de Mons,Mons,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,1
ADM-002,Administration,CPAS / Commune,CPAS de Soignies,Soignies,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,2
ADM-008,Administration,CPAS / Commune,CPAS de La Louviere,La Louviere,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,3
ADM-011,Administration,CPAS / Commune,CPAS de Mons,Mons,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,4
ADM-012,Administration,CPAS / Commune,CPAS de Soignies,Soignies,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,5
ADM-018,Administration,CPAS / Commune,CPAS de La Louviere,La Louviere,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,6
JSP-001,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Mons #1,Mons,,,,,suspect,A,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,A,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,7
JSP-011,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Mons #11,Mons,,,,,suspect,A,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,A,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,8
SDF-006,Institution sociale,Hebergement / accueil SDF,Structure accueil La Louviere #6,La Louviere,,,,,suspect,A,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,A,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,9
SDF-009,Institution sociale,Hebergement / accueil SDF,Structure accueil Mons #9,Mons,,,,,suspect,A,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,A,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,10
