id,segment,type_structure,organisation,ville,website,contact_page,email,phone,sales_stage,priority,source,next_action,notes,qualification_abc,message_type,canal_prioritaire,statut_relance,ordre_lot
ADM-001,Administration,CPAS / Commune,CPAS de Mons,Mons,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,1
ADM-002,Administration,CPAS / Commune,CPAS de Soignies,Soignies,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,2
ADM-008,Administration,CPAS / Commune,CPAS de La Louviere,La Louviere,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,3
ADM-011,Administration,CPAS / Commune,CPAS de Mons,Mons,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,4
ADM-012,Administration,CPAS / Commune,CPAS de Soignies,Soignies,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,5
ADM-018,Administration,CPAS / Commune,CPAS de La Louviere,La Louviere,,,,,suspect,A,Recherche locale,Identifier contact decisionnaire,Agriculture sociale / insertion / ateliers jardin,A,"Bonjour, je vous contacte pour proposer un atelier jardin a impact social adapte a vos publics.",email,a_contacter,6
JSP-001,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Mons #1,Mons,,,,,suspect,A,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,A,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,7
JSP-011,Institution sociale,SPJ / Foyer de jeunes,Service jeunesse Mons #11,Mons,,,,,suspect,A,Réseau institutionnel,Envoyer email de presentation,Ateliers potager educatifs et therapeutiques,A,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,8
SDF-006,Institution sociale,Hebergement / accueil SDF,Structure accueil La Louviere #6,La Louviere,,,,,suspect,A,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,A,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,9
SDF-009,Institution sociale,Hebergement / accueil SDF,Structure accueil Mons #9,Mons,,,,,suspect,A,Recherche locale,Appel standard + proposition atelier pilote,Jardin-activites pour inclusion et stabilite,A,"Bonjour, je vous contacte pour proposer des jardins-activites adaptes a vos beneficiaires.",email,a_contacter,10
SNT-008,Sante,Hopital psy / institution handicap mental,Institution sante mentale Mons #8,Mons,,,,,suspect,A,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,A,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,11
SNT-009,Sante,Hopital psy / institution handicap mental,Institution sante mentale Soignies #9,Soignies,,,,,suspect,A,Recherche locale,Email + relance J+7,Potager medicinal + activites therapeutiques,A,"Bonjour, je vous contacte pour proposer un programme de jardin therapeutique et plantes medicinales.",email,a_contacter,12
ECO-005,Education,Ecole primaire,Ecole primaire Ath #5,Ath,,,,,suspect,A,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,A,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,13
ECO-006,Education,Ecole primaire,Ecole primaire Tournai #6,Tournai,,,,,suspect,A,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,A,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,14
ECO-007,Education,Ecole primaire,Ecole primaire Mons #7,Mons,,,,,suspect,A,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,A,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,15
ECO-015,Education,Ecole primaire,Ecole primaire Ath #15,Ath,,,,,suspect,A,Prospection directe,Contacter direction + proposition cycle 3 ateliers,Potager pedagogique,A,"Bonjour, je vous contacte pour proposer un cycle de potager pedagogique cle en main pour votre ecole.",email,a_contacter,16
UNI-001,Education superieure,Universite / Haute ecole,Etablissement superieur Mons #1,Mons,,,,,suspect,A,Prospection institutionnelle,Contacter service vie etudiante / durable,Ateliers campus durable,A,"Bonjour, je vous contacte pour une action campus durable et atelier pratique.",email,a_contacter,17
MED-001,Media,Media local,TeleMB,Mons,,,,,suspect,A,Notoriete,Pitch media/partenariat,Visibilite et credibilite,A,"Bonjour, je vous contacte pour un sujet local autour de la permaculture de terrain en Wallonie.",email,a_contacter,18
MED-002,Media,Media local,RTBF Mons,Mons,,,,,suspect,A,Notoriete,Pitch media/partenariat,Visibilite et credibilite,A,"Bonjour, je vous contacte pour un sujet local autour de la permaculture de terrain en Wallonie.",email,a_contacter,19
MED-003,Media,Presse locale,Sudinfo Mons,Mons,,,,,suspect,A,Notoriete,Pitch media/partenariat,Visibilite et credibilite,A,"Bonjour, je vous contacte pour un sujet local autour de la permaculture de terrain en Wallonie.",email,a_contacter,20
