id,organisation,ville,segment,query_google_email,query_google_phone,website,contact_page,email_trouve,phone_trouve,source_url,valide
ADM-001,CPAS de Mons,Mons,Administration,"""CPAS de Mons"" Mons email contact","""CPAS de Mons"" Mons telephone contact",https://www.mons.be/fr/cpas,https://www.mons.be/fr/cpas/liens-rapides/nous-contacter,info@cpas.mons.be,+32 65 41 23 00,https://www.mons.be/fr/cpas/liens-rapides/nous-contacter,oui
ADM-002,CPAS de Soignies,Soignies,Administration,"""CPAS de Soignies"" Soignies email contact","""CPAS de Soignies"" Soignies telephone contact",https://www.cpas-soignies.be/,https://www.cpas-soignies.be/,direction@cpas-soignies.be,+32 67 34 81 11,https://www.cpas-soignies.be/,oui
ADM-008,CPAS de La Louviere,La Louviere,Administration,"""CPAS de La Louviere"" La Louviere email contact","""CPAS de La Louviere"" La Louviere telephone contact",https://www.lalouviere.be/cpas,https://www.lalouviere.be/cpas,,+32 64 88 50 11,https://www.lalouviere.be/cpas,partiel
ADM-011,CPAS de Mons,Mons,Administration,"""CPAS de Mons"" Mons email contact","""CPAS de Mons"" Mons telephone contact",https://www.mons.be/fr/cpas,https://www.mons.be/fr/cpas/liens-rapides/nous-contacter,info@cpas.mons.be,+32 65 41 23 00,https://www.mons.be/fr/cpas/liens-rapides/nous-contacter,oui
ADM-012,CPAS de Soignies,Soignies,Administration,"""CPAS de Soignies"" Soignies email contact","""CPAS de Soignies"" Soignies telephone contact",https://www.cpas-soignies.be/,https://www.cpas-soignies.be/,direction@cpas-soignies.be,+32 67 34 81 11,https://www.cpas-soignies.be/,oui
ADM-018,CPAS de La Louviere,La Louviere,Administration,"""CPAS de La Louviere"" La Louviere email contact","""CPAS de La Louviere"" La Louviere telephone contact",https://www.lalouviere.be/cpas,https://www.lalouviere.be/cpas,,+32 64 88 50 11,https://www.lalouviere.be/cpas,partiel
JSP-001,Infor Jeunes Mons,Mons,Institution sociale,"""Service jeunesse Mons #1"" Mons email contact","""Service jeunesse Mons #1"" Mons telephone contact",https://www.inforjeunesmons.be/,https://www.inforjeunesmons.be/notre-centre/contact/,contact@inforjeunesmons.be,+32 65 31 30 10,https://www.inforjeunesmons.be/notre-centre/contact/,oui
JSP-011,Service de Protection de la Jeunesse Mons,Mons,Institution sociale,"""Service jeunesse Mons #11"" Mons email contact","""Service jeunesse Mons #11"" Mons telephone contact",https://www.aidealajeunesse.cfwb.be,https://websoc.hainaut.be/DI03876.htm,spj.mons@cfwb.be,+32 65 39 72 30,https://websoc.hainaut.be/DI03876.htm,oui
SDF-006,Relais social urbain de La Louviere,La Louviere,Institution sociale,"""Structure accueil La Louviere #6"" La Louviere email contact","""Structure accueil La Louviere #6"" La Louviere telephone contact",https://rsull.be,https://centres-sociaux-caf-aveyron.fr/relais-social-urbain-de-la-louviere/,,+32 64 88 51 89,https://centres-sociaux-caf-aveyron.fr/relais-social-urbain-de-la-louviere/,partiel
SDF-009,Abri de nuit - CPAS de Mons,Mons,Institution sociale,"""Structure accueil Mons #9"" Mons email contact","""Structure accueil Mons #9"" Mons telephone contact",https://www.cpas.mons.be,https://www.mons.be/fr/cpas/aides-sociales/aide-aux-sans-abris-1/abri-de-nuit,abridenuit@cpas.mons.be,+32 65 34 76 74,https://www.mons.be/fr/cpas/aides-sociales/aide-aux-sans-abris-1/abri-de-nuit,oui
